time_step	reward_avg	time
4000	6.6778	2.7656
8000	7.1533	5.8137
12000	14.9871	8.5198
16000	17.4241	11.5057
20000	36.3524	14.1653
24000	34.3794	17.1399
28000	70.9939	19.7788
32000	56.8597	22.6952
36000	90.9324	25.3451
40000	84.5122	28.2546
44000	129.4865	30.8787
48000	139.3967	33.7872
52000	136.0672	36.4217
56000	193.0506	39.2904
60000	188.5167	41.9196
64000	188.9124	44.8019
68000	216.9762	47.4104
72000	250.3486	50.2693
76000	248.6532	52.8928
80000	248.9527	55.7903
84000	251.4244	58.4184
88000	289.9608	61.3259
92000	271.9817	63.9549
96000	247.1495	66.8602
100000	246.9356	69.4861
104000	291.7632	72.3896
108000	298.7572	74.9929
112000	254.2284	77.8876
116000	264.8424	80.4911
120000	227.9113	83.3812
124000	270.089	86.0194
128000	245.517	88.9144
132000	296.2204	91.5185
136000	264.2568	94.4132
140000	307.3568	97.0112
144000	234.5091	99.9118
148000	254.7897	102.5072
152000	277.7873	105.421
156000	291.8778	108.0364
160000	291.2244	110.9237
164000	336.1291	113.5348
168000	354.9218	116.4463
172000	287.5606	119.0554
176000	319.5493	121.9485
180000	294.0606	124.5683
184000	322.93	127.4834
188000	276.9451	130.1308
192000	264.0526	133.0278
196000	282.383	135.653
200000	251.3299	138.5501
204000	278.3835	141.2248
208000	278.2268	144.1788
212000	291.2352	146.8159
216000	301.3264	149.7149
220000	258.4501	152.3522
224000	274.565	155.2483
228000	272.7619	157.8917
232000	283.8891	160.8154
236000	305.3485	163.481
240000	285.6087	166.3959
244000	271.7557	169.037
248000	315.3252	171.9533
252000	287.5325	174.6773
256000	284.8445	177.6499
260000	299.6225	180.3516
264000	276.0973	183.3712
268000	303.2845	186.1636
272000	279.6334	189.1478
276000	280.8821	191.866
280000	281.8367	194.8741
284000	284.0093	197.5913
288000	278.6837	200.5874
292000	281.2072	203.3261
296000	291.8938	206.386
300000	269.6401	209.1091
304000	267.9509	212.1307
308000	292.9729	214.8534
312000	282.5899	217.9066
316000	288.8187	220.6861
320000	281.6321	223.7422
324000	257.4009	226.5159
328000	297.5486	229.609
332000	264.2462	232.3813
336000	280.7692	235.4682
340000	288.8915	238.2363
344000	296.2315	241.3047
348000	272.7619	244.0866
352000	272.0476	247.1643
356000	289.1239	249.9557
360000	284.573	253.0375
364000	266.8435	255.8217
368000	273.0019	258.8821
372000	286.9516	261.6675
376000	265.146	264.7817
380000	278.8443	267.5565
384000	291.9204	270.6415
388000	289.5324	273.4438
392000	284.2217	276.5136
396000	266.4829	279.2826
400000	292.2525	282.3402
404000	266.5383	285.1289
408000	272.1556	288.2498
412000	276.7275	291.0644
416000	258.4793	294.1721
420000	265.1849	296.9459
424000	268.2502	300.0541
428000	268.2868	302.8463
432000	294.1981	306.0601
436000	285.9318	308.9588
440000	267.7509	312.1606
444000	276.8502	315.0713
448000	276.8685	318.316
452000	272.9582	321.2105
456000	268.8859	324.4485
460000	297.8583	327.3713
464000	269.381	330.6255
468000	281.1896	333.574
472000	273.6504	336.7816
476000	264.1112	339.7036
480000	279.2941	342.9356
484000	273.3634	345.6148
488000	265.5132	348.5454
492000	279.2931	351.2141
496000	280.3513	354.1639
500000	282.7835	356.8261
504000	269.1506	359.7702
508000	272.0557	362.4676
512000	261.7244	365.4053
516000	266.9294	368.0608
520000	276.7402	370.9979
524000	284.3841	373.6466
528000	269.1213	376.5752
532000	266.6823	379.2249
536000	256.4929	382.1446
540000	263.7543	384.8244
544000	268.0423	387.7606
548000	273.5112	390.4308
552000	283.9631	393.3839
556000	267.9516	396.0444
560000	276.9491	398.9831
564000	266.2318	401.64
568000	260.2681	404.6169
572000	268.8632	407.3874
576000	269.6494	410.3864
580000	260.2638	413.1277
584000	268.3044	416.1907
588000	262.363	418.9673
592000	261.0879	422.0277
596000	261.4761	424.8144
600000	264.6638	427.9231
604000	254.2583	430.7352
608000	264.2148	433.8663
612000	259.7233	436.7316
616000	266.4512	439.8699
620000	261.1221	442.695
624000	261.855	445.8412
628000	264.1867	448.6439
632000	273.4589	451.7966
636000	262.9988	454.603
640000	263.884	457.706
644000	275.4433	460.5013
648000	263.0689	463.6187
652000	257.3017	466.404
656000	267.578	469.5082
660000	263.872	472.3213
664000	257.9267	475.4292
668000	262.965	478.2371
672000	273.1463	481.3452
676000	263.3479	484.2251
680000	258.8768	487.2402
684000	265.9109	489.9811
688000	267.8942	493.0003
692000	265.8209	495.7188
696000	263.5414	498.6685
700000	261.9865	501.3278
704000	268.1457	504.283
708000	261.8903	506.9676
712000	266.0046	509.9583
716000	264.3288	512.6445
720000	266.0479	515.6214
724000	266.7826	518.311
728000	265.1077	521.2624
732000	266.1797	523.9567
736000	265.2005	526.8908
740000	261.3607	529.5712
744000	265.9423	532.5183
748000	266.8803	535.2176
752000	264.0097	538.1801
756000	267.4243	540.8578
760000	262.5042	543.8121
764000	266.6959	546.4957
768000	267.9768	549.4574
772000	265.8582	552.132
776000	259.1673	555.0616
780000	266.317	557.7372
784000	266.4095	560.7141
788000	263.808	563.4173
792000	265.6439	566.4123
796000	263.6336	569.1186
800000	265.1183	572.0644
804000	259.6824	574.7542
808000	264.2586	577.7171
812000	260.0876	580.428
816000	258.7787	583.3899
820000	259.6592	586.0549
824000	261.09	589.0331
828000	259.1714	591.7163
832000	262.4615	594.7082
836000	261.4801	597.399
840000	262.9033	600.3521
844000	262.3506	603.0605
848000	262.1531	606.0196
852000	260.7155	608.6927
856000	262.2466	611.6574
860000	262.0915	614.3449
864000	266.4596	617.298
868000	258.1951	619.9676
872000	260.5501	622.9564
876000	264.9037	625.6797
880000	262.7961	628.6495
884000	261.0463	631.3419
888000	269.2135	634.3125
892000	262.0409	636.999
896000	265.1435	639.9519
900000	265.766	642.6391
904000	265.5346	645.6189
908000	265.9613	648.3006
912000	262.8802	651.2527
916000	265.1398	654.0114
920000	269.3458	657.0488
924000	273.2166	659.7645
