time_step	reward_avg	time
4000	-0.5728	2.8792
8000	-0.9145	6.0603
12000	1.8306	8.8973
16000	1.2597	12.0221
20000	5.3326	14.8085
24000	5.4794	17.8652
28000	16.7043	20.5626
32000	14.7049	23.5592
36000	17.3235	26.2431
40000	20.4311	29.1871
44000	32.676	31.8355
48000	30.5259	34.764
52000	54.2467	37.3963
56000	46.2009	40.2988
60000	68.2698	42.9523
64000	69.4948	45.8434
68000	73.1114	48.4505
72000	69.9738	51.3467
76000	126.5454	53.9638
80000	129.9174	56.8442
84000	141.7001	59.4413
88000	156.7346	62.3768
92000	200.7815	64.9956
96000	172.6878	67.8723
100000	264.574	70.48
104000	231.8353	73.3742
108000	185.4981	75.9642
112000	236.2267	78.8432
116000	210.558	81.4575
120000	270.1885	84.3974
124000	235.8975	86.994
128000	306.7793	89.8453
132000	239.0858	92.4421
136000	226.0769	95.3128
140000	343.11	97.8977
144000	295.6505	100.7633
148000	253.2891	103.3643
152000	283.3513	106.2507
156000	292.2024	108.8478
160000	255.9619	111.7267
164000	275.3262	114.3595
168000	326.6752	117.2517
172000	285.0302	119.8794
176000	315.6326	122.7488
180000	238.4864	125.3921
184000	271.5529	128.2773
188000	339.3847	130.883
192000	330.5181	133.7638
196000	296.1736	136.3739
200000	311.1104	139.2528
204000	289.2093	141.8724
208000	304.6542	144.7821
212000	302.093	147.4248
216000	302.2628	150.3366
220000	319.016	152.9521
224000	349.5404	155.8649
228000	315.0448	158.493
232000	318.6831	161.3873
236000	281.2694	164.031
240000	298.055	166.9839
244000	317.0641	169.598
248000	307.9903	172.5072
252000	299.9281	175.1801
256000	302.0748	178.091
260000	299.8245	180.7443
264000	302.9485	183.6343
268000	296.1841	186.2638
272000	286.3359	189.1936
276000	310.57	191.8043
280000	286.8772	194.7042
284000	269.4034	197.3401
288000	291.4086	200.2314
292000	289.089	202.8627
296000	279.2037	205.7795
300000	295.6969	208.419
304000	315.0365	211.4288
308000	317.2814	214.1024
312000	283.058	217.0016
316000	341.4714	219.6206
320000	317.7566	222.5179
324000	283.9023	225.1477
328000	299.7175	228.0392
332000	281.4726	230.6715
336000	321.7321	233.5677
340000	289.4998	236.1936
344000	314.3271	239.088
348000	337.0601	241.7136
352000	368.0184	244.6121
356000	307.8663	247.2196
360000	304.4224	250.1094
364000	313.3953	252.7428
368000	284.6984	255.6403
372000	298.9272	258.2444
376000	290.6018	261.1497
380000	301.7139	263.7771
384000	294.6352	266.7071
388000	297.9375	269.3444
392000	301.2386	272.2616
396000	318.9511	274.8957
