time_step	reward_avg	time
4000	0.5784	2.8051
8000	-0.6116	5.8497
12000	3.2843	8.6159
16000	3.8288	11.6788
20000	7.4365	14.3922
24000	7.7669	17.3943
28000	16.1356	20.0767
32000	12.3877	23.0675
36000	22.3136	25.7555
40000	25.5565	28.7064
44000	38.9246	31.3545
48000	33.8335	34.2932
52000	63.2136	36.9199
56000	63.766	39.834
60000	90.6433	42.4703
64000	91.6266	45.3617
68000	124.5018	47.968
72000	114.7011	50.8431
76000	168.2742	53.4441
80000	155.7986	56.3305
84000	244.7959	58.9208
88000	203.7113	61.811
92000	220.8116	64.4374
96000	224.9103	67.3196
100000	234.2056	69.9173
104000	234.8279	72.8281
108000	242.0514	75.46
112000	305.9453	78.3412
116000	303.6912	80.9401
120000	313.815	83.8732
124000	362.6538	86.4791
128000	228.7442	89.3709
132000	301.8202	91.9847
136000	251.2413	94.8601
140000	314.4633	97.4669
144000	265.14	100.3249
148000	268.4182	102.9328
152000	305.8755	105.8109
156000	314.5582	108.4277
160000	278.9455	111.2952
164000	307.4428	113.9349
168000	257.5033	116.8165
172000	267.8637	119.4391
176000	247.0385	122.3488
180000	286.5362	124.9529
184000	272.0762	127.8688
188000	377.57	130.4708
192000	312.525	133.3448
196000	272.9675	135.9648
200000	297.143	138.8534
204000	285.2704	141.471
208000	310.2535	144.3892
212000	293.4644	147.0372
216000	295.4318	149.9344
220000	328.9479	152.5542
224000	324.3923	155.4356
228000	309.7707	158.0458
232000	305.9562	160.9176
236000	342.2217	163.533
240000	309.1499	166.4115
244000	328.7296	169.0483
248000	293.0547	171.9356
252000	308.4448	174.5895
256000	321.066	177.4662
260000	317.4952	180.0711
264000	305.2354	182.9484
268000	303.1512	185.5586
272000	297.7387	188.4537
276000	386.1614	191.0674
280000	333.7183	193.9633
284000	341.0616	196.5839
288000	309.8062	199.4692
292000	324.4137	202.0873
296000	349.9383	205.0315
300000	312.0339	207.662
304000	310.5705	210.578
308000	314.4761	213.1864
312000	345.4686	216.0746
316000	319.883	218.6705
320000	318.3922	221.5504
324000	371.5002	224.1635
328000	316.9776	227.0706
332000	315.9849	229.6741
336000	303.363	232.5906
340000	297.2079	235.2239
344000	308.0199	238.1343
348000	305.0549	240.7708
352000	294.1189	243.6735
356000	284.8445	246.2967
360000	336.1222	249.1901
364000	296.9542	251.8415
368000	308.7079	254.7363
372000	303.9687	257.3589
376000	277.4628	260.2602
380000	309.5587	262.8771
384000	319.6761	265.7933
388000	314.7208	268.3988
392000	317.0143	271.2632
396000	293.9683	273.9067
400000	285.8425	276.7865
404000	302.1008	279.3944
408000	298.3429	282.2817
412000	288.2969	284.9158
416000	287.1259	287.8084
420000	295.4872	290.434
424000	313.8773	293.3656
428000	311.7366	296.0237
432000	319.689	298.9132
436000	306.2147	301.5267
440000	295.8586	304.4122
444000	300.9449	307.0228
448000	276.1466	309.9131
452000	308.619	312.5374
456000	296.4901	315.4593
460000	300.1544	318.0838
464000	300.3541	320.9743
468000	301.0295	323.6054
472000	338.5681	326.5236
476000	329.854	329.147
480000	319.6845	332.0261
484000	340.6971	334.6495
488000	322.0679	337.5798
492000	313.3632	340.19
496000	311.8313	343.0821
500000	323.0657	345.6896
504000	314.5352	348.5874
508000	303.5069	351.2003
512000	301.4607	354.1149
516000	315.8428	356.7733
520000	332.8185	359.6629
524000	318.6149	362.286
528000	319.6465	365.1774
532000	370.0568	367.7983
536000	469.0053	370.6859
540000	371.7087	373.2979
544000	334.8508	376.1909
548000	356.4511	378.8189
552000	356.1158	381.7136
556000	391.7876	384.3638
560000	349.6379	387.2552
564000	364.3235	389.8877
568000	345.9608	392.7893
572000	307.6232	395.4227
576000	346.6936	398.3386
580000	314.5813	400.9699
584000	304.5191	403.8649
588000	357.051	406.4885
592000	333.8126	409.3809
596000	359.314	412.0052
600000	353.8795	414.9762
604000	415.4397	417.659
608000	393.1717	420.6419
612000	376.7803	423.3392
616000	373.5704	426.3151
620000	426.6743	429.0079
624000	397.8262	432.0197
628000	416.9093	434.7586
632000	381.5293	437.7252
636000	374.2952	440.4315
640000	432.921	443.4265
644000	384.5084	446.1186
648000	411.2232	449.0928
652000	412.5864	451.7969
656000	397.7561	454.7875
660000	365.6945	457.4914
664000	369.3504	460.4705
668000	392.6795	463.2274
672000	371.3361	466.233
676000	429.6163	468.9446
680000	414.4646	471.9896
684000	383.1048	474.7775
688000	470.6621	477.806
692000	460.4369	480.5617
696000	567.1333	483.6304
700000	364.5137	486.4235
704000	386.5128	489.4835
708000	392.1147	492.2333
712000	351.5995	495.3025
716000	365.0894	498.072
720000	349.1932	501.1102
724000	339.359	503.8506
728000	352.6769	506.9039
732000	395.8705	509.667
736000	349.8065	512.7066
740000	363.2829	515.4581
744000	367.1232	518.4995
748000	341.8794	521.265
752000	405.4675	524.3149
756000	395.7954	527.0468
760000	435.8536	530.1153
764000	379.6388	532.8719
768000	386.7268	535.9248
772000	395.9949	538.7093
776000	439.1506	541.7403
780000	376.3497	544.4492
784000	371.9523	547.4733
788000	396.5742	550.2346
792000	400.4826	553.1571
796000	389.2338	555.7592
800000	407.6605	558.6428
804000	393.0434	561.2571
808000	382.8488	564.2024
812000	390.728	566.8346
816000	404.1019	569.7566
820000	382.7839	572.4015
824000	386.6752	575.2798
828000	382.5192	577.8771
832000	408.6686	580.773
836000	380.98	583.3722
840000	380.2489	586.2542
844000	411.1131	588.8613
848000	398.0504	591.7397
852000	421.1439	594.403
856000	415.7259	597.2874
860000	471.6279	599.889
864000	460.9152	602.7739
868000	415.7173	605.3774
872000	477.9265	608.2433
876000	463.466	610.8568
880000	426.6634	613.7646
884000	462.9845	616.3641
888000	462.5467	619.2423
892000	425.6283	621.8296
896000	441.2046	624.7439
900000	430.1392	627.3512
904000	505.4464	630.2203
908000	457.3265	632.8129
912000	449.9205	635.7229
916000	457.3325	638.32
920000	450.7649	641.2045
924000	463.028	643.8095
928000	478.6675	646.6971
932000	469.2602	649.2824
936000	449.1389	652.155
940000	460.5986	654.7706
944000	478.7409	657.6709
948000	479.5763	660.2628
952000	482.4355	663.186
956000	506.2841	665.8033
960000	461.8463	668.7108
964000	543.139	671.3167
968000	496.342	674.2039
972000	466.2735	676.8306
976000	460.3839	679.7193
980000	472.9258	682.3336
984000	485.8936	685.2505
988000	482.1592	687.8592
992000	491.1381	690.7363
996000	489.1092	693.3377
1000000	491.7032	696.2452
1004000	553.839	698.8959
1008000	635.5363	701.864
1012000	578.6607	704.5197
1016000	578.1275	707.4125
1020000	546.0281	710.0081
1024000	592.2448	712.871
1028000	572.277	715.4879
1032000	594.2732	718.3665
1036000	565.6274	720.9656
1040000	553.2552	723.8388
1044000	610.7781	726.4314
1048000	595.5884	729.3376
1052000	540.0838	731.9379
1056000	616.7693	734.8137
1060000	532.1172	737.4233
1064000	548.1212	740.3375
1068000	535.6424	742.9469
1072000	505.6585	745.8869
1076000	545.1944	748.5056
1080000	633.6529	751.3855
1084000	610.2429	753.9823
