time_step	reward_avg	time
4000	-3.9167	2.8555
8000	-4.2287	5.9877
12000	-1.8245	8.8415
16000	-1.7683	11.9698
20000	0.734	14.8013
24000	0.6149	17.9303
28000	4.1197	20.7604
32000	4.1818	23.8951
36000	10.5056	26.6903
40000	8.4969	29.7536
44000	17.6348	32.4943
48000	17.662	35.5091
52000	30.9217	38.2501
56000	31.828	41.2059
60000	54.1663	43.865
64000	44.7501	46.7986
68000	79.3579	49.421
72000	86.8134	52.3395
76000	107.0086	54.9861
80000	90.84	57.8822
84000	135.8531	60.5177
88000	130.6537	63.4039
92000	183.0605	66.0129
96000	158.5167	68.8769
100000	201.7984	71.4604
104000	193.0911	74.343
108000	227.1463	76.9265
112000	191.088	79.8345
116000	210.3943	82.4286
120000	228.8354	85.3259
124000	248.7885	87.9195
128000	258.4436	90.7971
132000	262.0562	93.3973
136000	240.2748	96.2733
140000	226.3521	98.8865
144000	205.0738	101.7962
148000	252.3956	104.4232
152000	237.8926	107.3046
156000	249.5319	109.9222
160000	234.7861	112.7979
164000	247.7978	115.4241
168000	271.0296	118.327
172000	211.8871	120.9418
176000	251.9306	123.8449
180000	245.752	126.4384
184000	242.9604	129.3212
188000	252.6679	131.9173
192000	268.3213	134.8034
196000	258.6015	137.4245
200000	251.5786	140.3098
204000	286.3315	142.9561
208000	266.4015	145.8626
212000	300.2893	148.4854
216000	278.4525	151.3789
220000	278.1137	154.0138
224000	255.309	156.9548
228000	255.384	159.6754
232000	287.861	162.634
236000	282.2921	165.3978
240000	276.0285	168.5596
244000	281.6496	171.4273
248000	268.7219	174.6142
252000	285.0061	177.5357
256000	289.9661	180.7536
260000	286.5735	183.6758
264000	272.2552	186.8886
268000	280.1631	189.7803
272000	287.1886	192.9778
276000	291.1004	195.886
280000	303.1676	199.0976
284000	261.5133	201.9882
288000	301.7297	205.1793
292000	282.9699	207.8408
296000	292.4794	210.8338
300000	303.2785	213.5184
304000	295.1804	216.4859
308000	294.1878	219.1427
312000	281.2112	222.0685
316000	272.093	224.7146
320000	284.848	227.6072
324000	269.3356	230.2165
328000	290.4421	233.1279
332000	281.4768	235.7781
336000	276.3436	238.6673
340000	264.2215	241.2985
344000	272.6278	244.1756
348000	291.0628	246.7982
352000	271.8945	249.689
356000	268.8179	252.3541
360000	291.5805	255.2509
364000	285.7032	257.8912
368000	271.2099	260.7988
372000	265.3198	263.4346
376000	271.9564	266.3582
380000	272.6546	269.0074
384000	279.9294	271.8985
388000	287.589	274.5373
392000	279.0304	277.4633
396000	269.8836	280.0909
400000	284.9649	283.0318
404000	266.8056	285.6938
408000	267.2308	288.6163
412000	281.678	291.2513
416000	276.2364	294.2212
420000	263.0105	296.8603
424000	276.9358	299.7603
428000	277.6473	302.3971
432000	281.9971	305.3076
436000	277.0156	307.9396
440000	290.9914	310.846
444000	269.1379	313.4869
448000	282.7091	316.4271
452000	267.159	319.0617
456000	280.4548	321.9816
460000	284.6222	324.6426
464000	268.1695	327.5596
468000	277.0887	330.1821
472000	283.0297	333.0842
476000	280.9855	335.7
480000	277.0122	338.6351
484000	273.9228	341.2613
488000	281.5771	344.153
492000	281.9105	346.7794
496000	268.7849	349.6737
500000	280.6619	352.2988
504000	283.799	355.2323
508000	293.6919	357.8892
512000	283.4315	360.8022
516000	277.1955	363.4278
520000	276.7294	366.3415
524000	276.7068	368.981
528000	269.0879	371.8746
532000	272.5006	374.493
536000	284.0702	377.3861
540000	277.2651	380.0232
544000	280.8138	382.9056
548000	271.9963	385.5495
552000	266.1276	388.455
556000	274.3297	391.124
560000	282.1909	394.0185
564000	276.345	396.6589
568000	268.9802	399.5923
572000	274.7024	402.2346
576000	275.6941	405.1576
580000	274.6821	407.7974
584000	286.1198	410.6904
588000	287.1421	413.3366
592000	288.6357	416.2482
596000	291.4523	418.8839
600000	287.2412	421.809
604000	284.1503	424.4549
608000	274.4923	427.3554
612000	280.4789	429.9992
616000	276.2998	432.9047
620000	272.4755	435.5416
624000	280.1024	438.4614
628000	287.5669	441.1084
632000	285.0121	444.079
636000	289.4959	446.7092
640000	293.6772	449.6044
644000	278.3582	452.2486
648000	288.9981	455.1558
652000	273.5297	457.7757
656000	277.7505	460.6527
660000	279.949	463.307
664000	279.9211	466.2222
668000	287.1781	468.8474
672000	285.9929	471.7285
676000	285.0939	474.4038
680000	283.0638	477.2995
684000	283.1572	479.9283
688000	275.939	482.8387
692000	289.6985	485.482
696000	278.5119	488.3867
700000	282.7029	491.009
704000	284.5984	493.9227
708000	289.055	496.5565
712000	283.3532	499.4756
716000	277.3913	502.1232
720000	287.0112	505.0951
724000	284.1232	507.7216
728000	279.3356	510.6414
732000	283.3804	513.287
736000	268.8448	516.1827
740000	280.1873	518.8121
744000	264.2704	521.7157
748000	293.5288	524.3574
752000	292.2772	527.2847
756000	287.7912	529.9296
760000	285.8576	532.8348
764000	274.5562	535.5038
768000	288.9586	538.4068
772000	279.9666	541.0509
776000	291.3756	543.9647
780000	294.5501	546.6062
784000	287.6129	549.5416
788000	289.8656	552.1669
792000	278.3366	555.1089
796000	302.7747	557.7462
800000	288.8091	560.6399
804000	275.621	563.2954
808000	279.0246	566.2257
812000	289.7398	568.8615
816000	283.9573	571.7685
820000	283.0302	574.4155
824000	290.8521	577.3205
828000	283.5731	579.9643
832000	302.5278	582.8685
836000	280.5552	585.5296
840000	286.9489	588.4701
844000	284.9887	591.1089
848000	290.3216	594.0375
852000	288.8593	596.6773
856000	291.2673	599.572
860000	295.4856	602.1995
864000	292.5215	605.1049
868000	294.398	607.7286
872000	297.7251	610.6506
876000	296.8569	613.2721
880000	298.4422	616.1795
884000	308.0716	618.8089
888000	301.6254	621.8563
892000	305.0474	624.6272
896000	315.7892	627.6059
900000	298.6534	630.2328
904000	299.8536	633.1485
908000	317.7119	635.7805
912000	316.7762	638.6855
916000	329.2008	641.3362
920000	334.9225	644.2476
924000	343.3012	646.8684
928000	348.4962	649.7581
932000	336.5303	652.388
936000	348.0177	655.3318
940000	341.8458	657.9615
944000	345.1978	660.8417
948000	371.1211	663.4659
952000	357.4966	666.361
956000	370.973	668.9845
960000	378.829	671.8737
964000	371.2041	674.5063
968000	402.7837	677.3965
972000	369.9527	680.0085
976000	374.4638	682.905
980000	371.7291	685.5573
984000	350.4661	688.4599
988000	383.9117	691.089
992000	381.2093	693.9813
996000	392.5154	696.6291
1000000	387.3907	699.5214
1004000	395.6747	702.1441
1008000	391.3471	705.054
1012000	381.544	707.6898
1016000	394.541	710.6128
1020000	389.2291	713.25
1024000	385.5433	716.188
1028000	403.0994	718.8163
1032000	414.8115	721.7224
1036000	413.5178	724.3476
1040000	402.6747	727.2524
1044000	408.725	729.9188
1048000	404.4147	732.8208
1052000	408.053	735.4493
1056000	400.8455	738.3577
1060000	406.6127	740.9749
1064000	418.254	743.9149
1068000	421.4426	746.5612
1072000	414.9526	749.4648
1076000	408.7031	752.0889
1080000	410.1351	755.0101
1084000	416.0611	757.6637
1088000	414.9783	760.6554
1092000	414.8769	763.2909
1096000	415.578	766.2022
1100000	420.5334	768.8322
1104000	427.8031	771.7545
1108000	413.8927	774.4292
1112000	433.2748	777.343
1116000	422.092	779.9957
1120000	418.2931	782.9083
1124000	431.0212	785.5375
1128000	435.7992	788.4514
1132000	423.7347	791.0744
1136000	435.3058	793.9909
1140000	427.4167	796.6204
1144000	420.0889	799.5196
1148000	440.2631	802.1918
1152000	445.7343	805.1545
1156000	431.8098	807.8003
1160000	433.3011	810.7878
1164000	446.9255	813.4783
1168000	445.7045	816.4194
1172000	451.4302	819.0735
1176000	444.0314	822.0235
1180000	447.5605	824.664
1184000	446.5877	827.5777
1188000	449.8279	830.2154
1192000	460.3944	833.1279
1196000	471.8463	835.8007
1200000	466.9232	838.7207
1204000	477.9916	841.3611
1208000	479.0232	844.282
1212000	497.3329	846.9207
1216000	477.5961	849.8206
1220000	484.9396	852.4617
1224000	484.7604	855.3781
1228000	497.994	858.0126
1232000	489.667	860.9339
1236000	499.9051	863.5803
1240000	494.5485	866.534
1244000	488.9246	869.2055
1248000	490.7928	872.1332
1252000	487.3209	874.7702
1256000	495.7277	877.6939
1260000	492.1125	880.3739
1264000	497.4043	883.3073
1268000	496.8216	885.9789
1272000	495.2648	888.9086
1276000	498.0078	891.5283
1280000	495.559	894.4397
1284000	503.2044	897.0559
1288000	500.2775	899.9646
1292000	507.1811	902.6036
1296000	491.5256	905.503
1300000	498.262	908.1788
1304000	515.3446	911.0929
1308000	489.3395	913.7428
1312000	499.9283	916.6631
1316000	504.4308	919.3092
1320000	507.1663	922.2247
1324000	498.959	924.9059
1328000	504.7332	927.9135
1332000	500.2323	930.6176
1336000	501.1807	933.6014
1340000	490.8166	936.3318
1344000	490.8523	939.3272
1348000	502.1209	942.0227
1352000	500.9936	945.0714
1356000	501.4464	947.8304
1360000	507.8534	950.9142
1364000	498.3157	953.7086
1368000	507.6837	956.7682
1372000	506.9135	959.5383
1376000	498.636	962.6162
1380000	498.3105	965.4008
1384000	505.6772	968.4772
1388000	499.0995	971.262
1392000	505.5471	974.3621
1396000	505.7618	977.131
1400000	509.7516	980.2136
1404000	514.8096	983.0349
1408000	512.8402	986.0988
1412000	510.9597	988.9003
1416000	509.3226	991.9929
1420000	512.3305	994.7887
1424000	503.3348	997.8242
1428000	509.6606	1000.5683
1432000	505.5945	1003.6056
1436000	509.6148	1006.3746
1440000	502.9572	1009.4407
1444000	507.5142	1012.2236
1448000	507.35	1015.3054
1452000	505.1735	1018.1124
1456000	501.8494	1021.2044
1460000	495.6852	1023.9788
1464000	499.6805	1027.0365
1468000	512.8046	1029.8184
1472000	494.7952	1032.805
1476000	516.0352	1035.4372
1480000	506.2852	1038.3704
1484000	507.8863	1041.0159
1488000	507.3122	1043.9817
1492000	504.9708	1046.6694
1496000	504.8879	1049.6062
1500000	514.1369	1052.2454
1504000	509.8014	1055.1578
1508000	514.6878	1057.7949
1512000	516.3387	1060.7286
1516000	508.0791	1063.3744
1520000	503.6622	1066.2967
1524000	511.9179	1068.9442
1528000	508.6066	1071.8574
1532000	508.1083	1074.5063
1536000	511.9201	1077.4154
1540000	504.9658	1080.067
1544000	508.0476	1083.01
1548000	509.6267	1085.6547
1552000	506.7682	1088.564
1556000	504.905	1091.2065
1560000	507.137	1094.13
1564000	518.7059	1096.7804
1568000	508.9736	1099.6939
1572000	509.007	1102.3615
1576000	515.176	1105.3106
1580000	510.0243	1107.9688
1584000	519.6645	1110.8922
1588000	518.4372	1113.5374
1592000	520.7207	1116.4742
1596000	522.1034	1119.1131
1600000	520.1733	1122.0371
1604000	526.2134	1124.709
1608000	521.2399	1127.5981
1612000	526.4573	1130.2414
1616000	526.2828	1133.1463
1620000	524.6229	1135.797
1624000	526.1787	1138.7114
1628000	526.0071	1141.3588
1632000	528.0235	1144.2923
1636000	534.1409	1146.937
1640000	532.2635	1149.8402
1644000	537.8805	1152.4927
1648000	535.6024	1155.4241
1652000	533.9671	1158.078
1656000	532.7355	1161.0213
1660000	531.4686	1163.6659
1664000	531.1668	1166.624
1668000	531.6272	1169.2764
1672000	538.2156	1172.1909
1676000	538.5626	1174.8457
1680000	536.2162	1177.7581
1684000	534.3321	1180.4086
1688000	543.7745	1183.3324
1692000	539.5967	1185.9971
1696000	546.0808	1188.9361
1700000	553.2922	1191.575
1704000	548.9922	1194.5095
1708000	548.1003	1197.1543
1712000	549.0051	1200.087
1716000	542.3318	1202.7308
1720000	562.4246	1205.6461
1724000	551.7538	1208.3574
1728000	547.8602	1211.2809
1732000	557.9701	1213.9214
1736000	559.3099	1216.8396
1740000	561.9638	1219.4892
1744000	569.6033	1222.3944
1748000	569.8544	1225.0699
1752000	560.5107	1227.9982
1756000	577.8642	1230.679
1760000	568.0019	1233.591
1764000	569.6863	1236.2615
1768000	575.6891	1239.1894
1772000	569.122	1241.8497
1776000	581.2509	1244.7455
1780000	582.8713	1247.3954
1784000	582.3722	1250.3302
1788000	592.1728	1252.9619
1792000	584.1083	1255.9115
1796000	585.0542	1258.5434
1800000	584.9521	1261.4523
1804000	602.253	1264.0784
1808000	600.2293	1267.0029
1812000	604.502	1269.6497
1816000	605.8312	1272.5918
1820000	602.181	1275.2361
1824000	610.0218	1278.1435
1828000	605.6313	1280.7856
1832000	605.3895	1283.7188
1836000	609.0222	1286.3628
1840000	603.5411	1289.2862
1844000	610.0549	1291.9366
1848000	614.3257	1294.8549
1852000	615.5907	1297.4967
1856000	612.6718	1300.4173
1860000	604.1113	1303.0549
1864000	613.674	1305.9862
1868000	617.1204	1308.6295
1872000	611.1475	1311.5554
1876000	618.0283	1314.2445
1880000	616.8183	1317.1622
1884000	620.9975	1319.7936
1888000	611.4762	1322.7047
1892000	616.346	1325.3494
1896000	615.4077	1328.2715
1900000	629.1413	1330.9164
1904000	631.8395	1333.8275
1908000	635.6397	1336.468
1912000	624.3717	1339.3813
1916000	629.5274	1342.0232
1920000	622.396	1344.9717
1924000	634.8616	1347.6143
1928000	623.4899	1350.5381
1932000	631.247	1353.1833
1936000	634.6692	1356.1317
1940000	635.1986	1358.784
1944000	627.8103	1361.6985
1948000	622.992	1364.3371
1952000	630.2915	1367.25
1956000	630.7955	1369.8932
1960000	638.5007	1372.8123
1964000	650.7426	1375.4757
1968000	643.5797	1378.4137
1972000	633.5676	1381.0667
1976000	635.5157	1383.9861
1980000	626.2335	1386.627
1984000	623.4934	1389.5419
1988000	642.0001	1392.196
1992000	638.2154	1395.1003
1996000	629.9023	1397.7643
2000000	635.2185	1400.7161
2004000	634.2381	1403.3619
2008000	638.9441	1406.2943
2012000	628.1573	1408.9475
2016000	635.0443	1411.8517
2020000	631.4462	1414.48
2024000	625.5997	1417.3808
2028000	631.5096	1420.0392
2032000	638.185	1422.9633
2036000	635.3993	1425.5903
2040000	632.9831	1428.4876
2044000	632.4156	1431.1272
2048000	618.6086	1434.0626
2052000	640.8589	1436.7199
2056000	641.6755	1439.6297
2060000	631.3496	1442.2858
2064000	641.413	1445.1911
2068000	623.2378	1447.8199
2072000	634.3946	1450.7558
2076000	643.1989	1453.4133
2080000	625.7567	1456.3294
2084000	643.2182	1458.9595
2088000	637.1002	1461.886
2092000	653.499	1464.5613
2096000	648.9112	1467.4863
2100000	662.1305	1470.1227
2104000	671.087	1473.0432
2108000	664.1468	1475.6689
2112000	662.11	1478.5849
2116000	662.5051	1481.2273
2120000	680.9422	1484.1562
2124000	666.3483	1486.8011
2128000	673.3633	1489.7114
2132000	661.6695	1492.3368
2136000	669.7326	1495.2612
2140000	662.1432	1497.8912
2144000	651.9321	1500.7857
2148000	669.2599	1503.4267
2152000	664.8571	1506.3227
2156000	659.4897	1508.9433
2160000	651.4859	1511.8367
2164000	659.4918	1514.4715
2168000	654.6166	1517.3949
2172000	639.9954	1520.0228
2176000	648.4864	1522.924
2180000	632.1117	1525.5929
2184000	635.0135	1528.5073
2188000	647.6265	1531.137
2192000	652.508	1534.0557
2196000	648.5151	1536.6999
2200000	655.7819	1539.6012
2204000	648.9603	1542.2466
2208000	673.5902	1545.1547
2212000	673.2252	1547.7913
2216000	672.4727	1550.6843
2220000	696.0342	1553.3135
2224000	713.6632	1556.2346
2228000	720.2269	1558.8527
2232000	724.2531	1561.7595
2236000	711.3253	1564.3816
2240000	696.3401	1567.307
2244000	667.8204	1569.9263
2248000	675.4368	1572.8218
2252000	684.492	1575.4447
2256000	649.9503	1578.3525
2260000	667.0921	1580.9881
2264000	650.3868	1583.9288
2268000	676.4303	1586.5762
2272000	673.1759	1589.5147
2276000	680.7194	1592.1563
2280000	678.5651	1595.0774
2284000	669.5725	1597.7013
2288000	668.1827	1600.6244
2292000	667.5186	1603.2582
2296000	650.5123	1606.1681
2300000	672.4606	1608.8348
2304000	648.5866	1611.7512
2308000	656.6311	1614.488
2312000	647.8682	1617.4897
2316000	639.2065	1620.2302
2320000	648.0328	1623.3246
2324000	643.7078	1626.0305
2328000	637.3234	1629.012
2332000	675.6247	1631.6938
2336000	666.2191	1634.6003
2340000	662.6733	1637.2313
2344000	659.5539	1640.1409
2348000	662.6286	1642.783
2352000	658.7905	1645.7236
2356000	693.2316	1648.3695
2360000	709.338	1651.271
2364000	705.1274	1653.9274
2368000	714.0551	1656.8353
2372000	710.5653	1659.4647
2376000	696.9947	1662.379
2380000	675.3837	1665.0129
2384000	689.1831	1667.898
2388000	706.1052	1670.5134
2392000	716.1514	1673.4748
2396000	711.6918	1676.1361
2400000	694.076	1679.0374
2404000	696.1769	1681.6686
2408000	710.2292	1684.5528
2412000	724.5574	1687.1794
2416000	719.2907	1690.0829
2420000	712.3012	1692.6905
2424000	707.4877	1695.598
2428000	716.4645	1698.2218
2432000	703.2093	1701.1193
2436000	705.4102	1703.7761
2440000	700.7659	1706.6773
2444000	694.7434	1709.2984
2448000	715.6167	1712.1871
2452000	707.9086	1714.8191
2456000	698.96	1717.7194
2460000	691.5896	1720.3482
2464000	711.2339	1723.2315
2468000	708.2881	1725.852
2472000	708.6011	1728.7392
2476000	710.1315	1731.3585
2480000	703.194	1734.279
2484000	705.0312	1736.9156
2488000	693.702	1739.8078
2492000	695.049	1742.4362
2496000	669.0261	1745.3259
2500000	697.7669	1747.9413
2504000	691.1923	1750.8188
2508000	689.5803	1753.4495
2512000	676.0301	1756.356
2516000	689.7839	1759.0097
2520000	693.6398	1761.8974
