time_step	reward_avg	time
4000	1.6335	2.9031
8000	1.6622	6.0903
12000	5.5314	8.9178
16000	5.4807	12.0322
20000	14.3267	14.7788
24000	10.9475	17.8332
28000	25.3546	20.5227
32000	30.6782	23.4777
36000	63.3647	26.1293
40000	66.2979	29.0277
44000	84.7455	31.6464
48000	85.9067	34.561
52000	152.5861	37.1729
56000	83.5393	40.0313
60000	156.8426	42.6307
64000	154.8795	45.5046
68000	172.2267	48.1027
72000	160.0999	50.9653
76000	261.7074	53.5579
80000	192.3745	56.4985
84000	232.6863	59.1122
88000	257.1554	61.9744
92000	260.4509	64.5833
96000	273.9601	67.4621
100000	256.6305	70.105
104000	224.6259	73.0124
108000	235.0054	75.6595
112000	275.9219	78.5501
116000	260.7594	81.1585
120000	250.619	84.0914
124000	301.557	86.7108
128000	238.6697	89.6038
132000	273.5589	92.2228
136000	241.9096	95.1244
140000	289.9245	97.7523
144000	293.1414	100.6366
148000	286.9206	103.2508
152000	243.5292	106.1424
156000	256.675	108.7754
160000	298.537	111.6792
164000	269.0651	114.3407
168000	337.6761	117.2631
172000	264.428	119.8896
176000	269.4034	122.7838
180000	265.7988	125.4099
184000	255.7042	128.3075
188000	273.8829	130.9551
192000	278.9909	133.8638
196000	280.5034	136.4884
200000	309.968	139.4241
204000	273.2844	142.075
208000	278.6767	145.0109
212000	294.8063	147.6436
216000	269.1179	150.5723
220000	300.4953	153.214
224000	262.9583	156.1416
228000	279.7305	158.8056
232000	268.74	161.7538
236000	265.6969	164.3915
240000	273.1275	167.3241
244000	286.534	169.9944
248000	286.1783	172.9236
252000	269.6944	175.5971
256000	271.5604	178.5139
260000	283.1494	181.1976
264000	275.7969	184.1289
268000	281.021	186.7795
272000	272.5107	189.7278
276000	288.2917	192.3849
280000	291.5372	195.3195
284000	250.2384	197.9778
288000	293.0933	200.9176
292000	269.1967	203.6032
296000	282.9221	206.5532
300000	288.6619	209.2069
304000	294.9704	212.1301
308000	258.6309	214.7871
312000	305.9193	217.7093
316000	270.9384	220.3555
320000	279.9268	223.2971
324000	281.3469	225.944
328000	272.1767	228.8821
332000	263.4379	231.5428
336000	279.5247	234.5008
340000	276.2835	237.1487
344000	281.0964	240.0804
348000	272.147	242.7358
352000	275.3074	245.7037
356000	270.149	248.3585
360000	270.5643	251.2846
364000	265.5941	253.9184
368000	269.1431	256.8512
372000	270.4393	259.5128
376000	268.6223	262.4537
380000	264.8769	265.1479
384000	274.4764	268.1024
388000	268.3421	270.7672
392000	263.9303	273.7136
396000	270.1398	276.3757
400000	284.7882	279.3136
404000	274.5883	282.0063
408000	268.8187	284.9663
412000	267.0185	287.6799
416000	275.8808	290.6506
420000	271.3344	293.3352
424000	268.1098	296.3306
428000	271.4232	299.0421
432000	271.4691	301.9893
436000	266.4319	304.6611
440000	267.745	307.6572
444000	277.6091	310.4495
448000	265.3571	313.4523
452000	269.2172	316.1953
456000	267.996	319.319
460000	266.9102	322.1501
464000	267.0965	325.3844
468000	266.7886	328.3225
472000	279.4725	331.5592
476000	272.1928	334.4859
480000	260.4644	337.717
484000	273.1575	340.6592
488000	257.0137	343.8978
492000	263.4248	346.8324
496000	279.2933	350.0753
500000	278.2539	353.0219
504000	265.3054	356.2863
508000	272.6647	359.2164
512000	264.6934	362.3782
516000	271.1804	365.0559
520000	259.0431	367.9975
524000	277.0237	370.6653
528000	286.9368	373.5999
532000	264.3532	376.2696
536000	261.1797	379.2337
540000	269.2129	381.9057
544000	275.0406	384.8682
548000	269.5965	387.5488
552000	253.2861	390.5069
556000	257.9852	393.1677
560000	268.6856	396.1173
564000	263.5995	398.8193
568000	262.9437	401.7705
572000	265.5622	404.4525
576000	266.797	407.4178
580000	260.9263	410.1001
584000	264.363	413.0347
588000	265.3237	415.7524
592000	265.2505	418.7137
596000	268.3071	421.3927
600000	270.2202	424.335
604000	268.8201	427.0212
608000	265.2418	429.9761
612000	260.4346	432.6529
616000	266.3771	435.5989
620000	265.2001	438.2778
624000	260.9937	441.2544
628000	270.8339	443.9658
632000	257.4633	446.935
636000	273.703	449.6139
640000	267.1527	452.5589
644000	273.6619	455.2421
648000	266.2649	458.1966
652000	266.5776	460.8691
656000	267.9244	463.8321
660000	267.9417	466.5127
664000	273.5578	469.4488
668000	264.7941	472.1131
672000	263.2855	475.0776
676000	265.4865	477.7302
680000	275.2864	480.6764
684000	265.2899	483.3328
688000	267.8394	486.2961
692000	264.5216	488.9586
696000	272.2991	491.9061
700000	268.4444	494.5838
704000	277.0769	497.5295
708000	279.742	500.1928
712000	266.7486	503.1476
716000	273.9244	505.8709
720000	270.3808	508.8395
724000	272.6079	511.5594
728000	271.2986	514.5627
732000	267.0621	517.2706
736000	265.7663	520.2839
740000	271.6981	522.9686
744000	274.5978	525.9246
748000	275.1308	528.621
752000	274.6619	531.563
756000	267.3632	534.2426
760000	275.1701	537.1795
764000	279.2261	539.8512
768000	268.4245	542.7841
772000	284.6398	545.4495
776000	273.0821	548.4173
780000	271.3885	551.0845
784000	272.4625	554.0284
788000	277.1512	556.6944
792000	275.5815	559.6301
796000	270.7218	562.3062
800000	272.855	565.2718
804000	273.0263	568.0768
808000	277.4775	571.1126
812000	271.0284	573.8664
816000	274.0912	576.9703
820000	278.3745	579.7835
824000	278.8201	582.8502
828000	272.0119	585.6287
832000	276.7138	588.723
836000	267.4407	591.5024
840000	268.6972	594.6446
844000	272.103	597.451
848000	281.9569	600.5281
852000	276.1217	603.316
856000	271.7971	606.4308
860000	275.5192	609.243
864000	269.9208	612.3565
868000	278.442	615.2288
872000	282.7012	618.3517
876000	277.4747	621.1822
880000	281.833	624.2839
884000	286.2404	627.0747
888000	278.0198	630.1228
892000	285.6947	632.9046
896000	283.1775	636.0047
900000	294.6403	638.832
904000	290.9402	641.9138
908000	295.5977	644.7074
912000	297.7645	647.7801
916000	300.0076	650.5763
