time_step	reward_avg	time
4000	6.2636	2.7825
8000	6.2914	5.7952
12000	10.0993	8.507
16000	10.0665	11.4922
20000	13.7572	14.1894
24000	16.4799	17.1673
28000	24.7701	19.8246
32000	25.6921	22.7966
36000	34.142	25.4589
40000	30.8107	28.3842
44000	48.6784	31.0348
48000	50.8186	33.9436
52000	80.612	36.5526
56000	75.6238	39.4562
60000	92.164	42.0702
64000	105.9226	44.9955
68000	110.9877	47.5983
72000	131.6739	50.4975
76000	132.9315	53.1042
80000	153.9521	56.0166
84000	180.0092	58.62
88000	228.4344	61.4956
92000	143.8742	64.1189
96000	157.0111	67.0474
100000	208.3354	69.6391
104000	220.5474	72.5032
108000	176.071	75.1253
112000	239.7562	78.0002
116000	193.9385	80.5928
120000	222.6055	83.5121
124000	245.0959	86.1517
128000	239.3747	89.0203
132000	243.3836	91.6324
136000	235.4414	94.5471
140000	309.1274	97.1701
144000	239.5185	100.0624
148000	243.3667	102.6544
152000	286.9563	105.5429
156000	260.9931	108.1654
160000	232.5211	111.0465
164000	256.9999	113.662
168000	293.3669	116.5324
172000	278.6728	119.1383
176000	293.4237	122.0221
180000	309.7939	124.6329
184000	258.7625	127.5593
188000	286.504	130.1767
192000	255.0983	133.0756
196000	286.3214	135.7084
200000	351.5141	138.6153
204000	315.6074	141.2544
208000	404.1594	144.1811
212000	315.3683	146.8164
216000	311.4164	149.749
220000	312.0336	152.384
224000	294.4166	155.2707
228000	306.0341	157.8996
232000	326.4703	160.7873
236000	308.3568	163.4074
240000	305.9997	166.3152
244000	287.1315	168.9556
248000	329.2056	171.8458
252000	304.6101	174.4901
256000	297.9746	177.3903
260000	293.7045	180.0302
264000	352.3151	182.9403
268000	303.4627	185.5758
272000	291.6596	188.4828
276000	323.1024	191.1154
280000	276.5335	194.0108
284000	310.9438	196.6357
288000	297.434	199.5343
292000	304.5885	202.1574
296000	308.7686	205.1007
300000	274.9776	207.7438
304000	286.3225	210.7335
308000	275.4686	213.448
312000	312.7119	216.3428
316000	319.1926	218.9608
320000	315.059	221.8645
324000	297.7357	224.4959
328000	331.318	227.3911
332000	271.1188	230.0079
336000	299.3896	232.929
340000	282.488	235.5947
344000	291.7311	238.5134
348000	282.3582	241.1215
352000	286.3127	244.0327
356000	300.3483	246.6627
360000	307.5012	249.57
364000	297.0445	252.1985
368000	294.8631	255.1196
372000	306.1906	257.742
376000	287.5109	260.6564
380000	297.5088	263.3018
384000	321.928	266.2351
388000	291.8475	268.8917
392000	345.5052	271.8052
396000	292.5901	274.4667
400000	321.0167	277.3734
404000	270.5586	280.0186
408000	294.5831	282.9424
412000	266.788	285.5862
416000	270.8284	288.5126
420000	292.145	291.1391
424000	276.9804	294.0832
428000	282.8675	296.7412
432000	263.6592	299.6597
436000	302.0975	302.3163
440000	283.2966	305.2364
444000	290.4493	307.8906
448000	296.0699	310.815
452000	282.1848	313.4638
456000	270.6432	316.3803
460000	270.9549	319.0584
464000	270.6694	321.9789
468000	281.2858	324.6543
472000	272.6438	327.5668
476000	281.1018	330.2037
480000	292.5899	333.1239
484000	291.898	335.7959
488000	277.5578	338.8162
492000	274.497	341.5215
496000	274.3673	344.5216
500000	279.4343	347.2265
504000	283.2149	350.1999
508000	278.1535	352.9555
512000	265.7395	355.9874
516000	291.7882	358.7017
520000	290.7808	361.7238
524000	280.4028	364.4468
528000	279.1423	367.4399
532000	276.7571	370.1517
536000	277.2049	373.1458
540000	290.6861	375.868
544000	276.7841	378.8518
548000	289.0118	381.6029
552000	277.2933	384.6276
556000	279.8976	387.3687
560000	282.5731	390.4119
564000	278.9471	393.1703
568000	282.1423	396.2299
572000	278.6451	399.025
576000	281.3198	402.07
580000	292.6779	404.853
584000	276.8089	407.9006
588000	277.8286	410.6851
592000	283.9258	413.7454
596000	276.2262	416.5278
600000	286.9339	419.5972
604000	268.3856	422.3952
608000	271.2843	425.4751
612000	269.2982	428.2739
616000	275.8457	431.3457
620000	280.7206	434.1204
624000	274.1908	437.2063
628000	273.0852	439.9827
632000	277.5328	443.0049
636000	275.7801	445.7667
640000	277.6799	448.86
644000	286.7635	451.65
648000	281.6522	454.7307
652000	268.6118	457.5126
656000	278.4109	460.5818
660000	277.2668	463.3552
664000	277.5176	466.4256
668000	278.1393	469.214
672000	282.4894	472.3536
676000	281.6751	475.1574
680000	290.1723	478.2082
684000	291.9322	480.9834
688000	283.7394	484.0545
692000	284.7565	486.9373
696000	288.1321	490.1353
700000	273.4541	493.0541
704000	279.7617	496.2573
708000	275.3651	499.1608
712000	281.6346	502.3671
716000	276.1814	505.2776
720000	284.1017	508.4939
724000	293.9007	511.3969
728000	273.5308	514.6208
732000	269.2618	517.5443
736000	289.726	520.7456
740000	286.4254	523.6453
744000	290.6899	526.6708
748000	295.7386	529.3167
752000	298.3395	532.2794
756000	282.0387	534.9665
760000	309.3168	537.9079
764000	276.0305	540.579
768000	291.815	543.4951
772000	284.8093	546.1456
776000	274.8526	549.0718
780000	283.134	551.7058
784000	301.5682	554.639
788000	285.4388	557.2886
792000	289.8591	560.2336
796000	285.1546	562.8689
800000	285.0778	565.8258
804000	276.8045	568.492
808000	273.1538	571.4314
812000	278.6377	574.1015
816000	276.3938	577.0424
820000	278.4402	579.7056
824000	273.4222	582.6831
828000	277.9633	585.3538
832000	276.8037	588.2786
836000	273.0915	590.9521
840000	269.1165	593.9042
844000	276.1881	596.5758
848000	267.429	599.5084
852000	280.4107	602.1932
856000	277.7494	605.1693
860000	282.3775	607.8261
864000	265.6593	610.7639
868000	281.0132	613.4291
872000	274.3488	616.3618
876000	272.819	619.0191
880000	275.6323	621.963
884000	279.4246	624.6825
888000	271.7482	627.6055
892000	278.1156	630.2647
896000	275.8898	633.2044
900000	283.2125	635.8684
904000	268.9155	638.8037
908000	282.3605	641.452
912000	279.7997	644.368
916000	298.1869	647.0549
920000	285.7548	649.9877
924000	276.5166	652.6468
928000	282.3007	655.5914
932000	289.4777	658.2438
936000	277.2186	661.176
940000	289.4002	663.8332
944000	282.2257	666.7832
948000	284.3603	669.4247
952000	284.7276	672.3531
956000	283.4032	674.984
960000	292.3914	677.8948
964000	285.4512	680.5396
968000	286.2446	683.4757
972000	296.2474	686.1336
976000	277.714	689.0897
980000	294.6249	691.7237
984000	286.1972	694.6565
988000	292.491	697.2997
992000	290.0954	700.2105
996000	279.16	702.8669
1000000	286.1296	705.7884
1004000	279.0889	708.4682
1008000	279.534	711.3811
1012000	283.1591	714.0446
1016000	295.4578	716.9578
1020000	274.8995	719.5884
1024000	276.6673	722.508
1028000	283.9787	725.1522
1032000	281.796	728.0862
1036000	284.9179	730.7437
1040000	281.8232	733.674
1044000	281.9844	736.3345
1048000	288.7211	739.3008
1052000	286.8329	741.9797
1056000	283.62	744.9537
1060000	280.0239	747.6147
1064000	290.6847	750.5541
1068000	284.2615	753.2389
1072000	284.9025	756.1739
1076000	281.1336	758.8234
1080000	285.2732	761.7395
1084000	288.6319	764.4039
1088000	288.1264	767.3209
1092000	283.2507	769.9782
1096000	281.1946	772.9223
1100000	284.08	775.5921
1104000	281.8105	778.5318
1108000	290.1952	781.1914
1112000	294.4909	784.1133
1116000	284.5095	786.7768
1120000	289.4431	789.7138
1124000	295.9641	792.372
1128000	286.0045	795.3374
1132000	291.9408	797.9855
1136000	297.3356	800.9033
1140000	290.3157	803.6016
1144000	293.5643	806.5454
1148000	297.6398	809.2007
1152000	301.6977	812.1172
1156000	298.8847	814.7954
1160000	300.2759	817.7387
1164000	292.7723	820.3897
1168000	299.5241	823.3031
1172000	296.9323	825.9479
1176000	294.4114	828.8641
1180000	295.952	831.5194
1184000	292.4258	834.4515
1188000	305.9408	837.1165
1192000	299.0171	840.0373
1196000	293.6331	842.6844
1200000	312.3024	845.5801
1204000	300.5719	848.2092
1208000	306.3211	851.1189
1212000	317.8328	853.7584
1216000	301.2712	856.6847
1220000	310.6282	859.3611
1224000	300.9889	862.2677
1228000	313.4646	864.9394
1232000	297.0545	867.8708
1236000	303.0036	870.5076
1240000	318.139	873.4221
1244000	314.9058	876.0642
1248000	312.2958	878.9894
1252000	312.2971	881.6247
1256000	302.2124	884.542
1260000	317.3447	887.1666
1264000	309.1154	890.0734
1268000	312.6494	892.7109
1272000	307.358	895.6617
1276000	315.6861	898.2978
1280000	304.3055	901.2459
1284000	307.9484	903.8907
1288000	309.4503	906.8129
1292000	316.4968	909.46
1296000	318.0974	912.3681
1300000	317.3686	914.9838
1304000	327.381	917.8845
1308000	325.1308	920.5516
1312000	333.9147	923.5472
1316000	326.8271	926.2507
1320000	326.3946	929.2445
1324000	336.4539	931.935
1328000	322.7432	934.9204
1332000	334.2652	937.6582
1336000	339.363	940.6944
1340000	312.9006	943.468
1344000	336.338	946.521
1348000	334.5794	949.2697
1352000	325.769	952.2599
1356000	335.8296	955.0363
1360000	335.7434	958.0764
1364000	337.7231	960.8555
1368000	336.6114	963.9047
1372000	334.7205	966.6834
1376000	329.1399	969.728
1380000	329.1058	972.5007
1384000	344.641	975.5483
1388000	328.2054	978.307
1392000	341.3522	981.3761
1396000	320.4651	984.1498
1400000	331.5607	987.2192
1404000	322.5166	990.0145
1408000	331.9133	993.0618
1412000	326.9838	995.8087
1416000	330.0309	998.8357
1420000	333.4429	1001.5953
1424000	324.9134	1004.655
1428000	341.7049	1007.4174
1432000	331.5916	1010.4868
1436000	338.148	1013.2586
1440000	323.1803	1016.3359
1444000	337.3809	1019.0805
1448000	339.3822	1022.1215
1452000	337.6449	1024.8855
1456000	349.1887	1027.9538
1460000	347.7356	1030.79
1464000	347.0201	1033.8266
1468000	337.6286	1036.5303
1472000	344.6666	1039.526
1476000	367.9479	1042.2503
1480000	337.0181	1045.201
1484000	351.9648	1047.8296
1488000	358.7395	1050.7484
1492000	355.6561	1053.3974
1496000	346.7744	1056.2869
1500000	348.9296	1058.9121
1504000	351.5783	1061.8098
1508000	359.7201	1064.4529
1512000	348.0657	1067.3772
1516000	359.634	1070.0269
1520000	378.4007	1072.9294
1524000	353.5655	1075.6175
1528000	367.5101	1078.527
1532000	361.1489	1081.1554
1536000	352.3104	1084.059
1540000	368.9271	1086.6931
1544000	375.0689	1089.6021
1548000	373.5096	1092.2338
1552000	356.1936	1095.1986
1556000	370.3607	1097.8371
1560000	377.3682	1100.7534
1564000	391.4594	1103.3853
1568000	378.4976	1106.3272
1572000	397.7657	1108.9582
1576000	388.6409	1111.8477
1580000	397.5633	1114.4965
1584000	398.9123	1117.4719
1588000	388.2999	1120.1064
1592000	387.8977	1122.9921
1596000	380.6657	1125.6167
1600000	379.9801	1128.5077
1604000	389.4298	1131.1453
1608000	371.7251	1134.0827
1612000	392.8956	1136.7311
1616000	381.1705	1139.6357
1620000	392.8288	1142.3087
1624000	382.4652	1145.2311
1628000	388.3544	1147.8525
1632000	374.2787	1150.7719
1636000	378.3537	1153.4153
1640000	379.6865	1156.3169
1644000	375.5363	1158.975
1648000	382.156	1161.898
1652000	381.4407	1164.5794
1656000	380.4795	1167.4773
1660000	398.0344	1170.1032
1664000	389.589	1173.0081
1668000	388.1849	1175.6412
1672000	390.3646	1178.5448
1676000	404.5005	1181.1904
1680000	400.5984	1184.0738
1684000	405.7178	1186.6846
1688000	389.5212	1189.5944
1692000	395.3649	1192.229
1696000	378.4818	1195.1432
1700000	393.7731	1197.7709
1704000	380.3659	1200.7061
1708000	403.4283	1203.342
1712000	380.4679	1206.2462
1716000	371.7867	1208.8783
1720000	397.1422	1211.7793
1724000	394.9638	1214.4424
1728000	390.8332	1217.3532
1732000	399.5981	1219.9765
1736000	404.975	1222.8878
1740000	392.6533	1225.5423
1744000	393.1979	1228.4404
