time_step	reward_avg	time
4000	0.1639	2.9103
8000	0.1338	6.1105
12000	1.3566	9.0049
16000	1.6506	12.1703
20000	3.14	15.0036
24000	3.8119	18.1276
28000	7.7935	20.876
32000	7.5299	23.98
36000	12.4945	26.7456
40000	12.4132	29.8061
44000	21.1444	32.5524
48000	24.8276	35.5751
52000	37.276	38.3181
56000	48.1753	41.3567
60000	63.9279	44.1058
64000	51.0655	47.1265
68000	105.4757	49.8746
72000	76.3889	52.9095
76000	130.2236	55.6414
80000	99.6152	58.6619
84000	133.7229	61.4278
88000	178.0982	64.4505
92000	180.294	67.1756
96000	190.7758	70.2157
100000	265.9551	72.9447
104000	236.0871	75.95
108000	268.2427	78.707
112000	203.9037	81.7192
116000	251.6684	84.4825
120000	282.2364	87.5255
124000	331.7842	90.2403
128000	256.6105	93.2781
132000	245.306	96.0153
136000	260.4908	99.0349
140000	300.1554	101.7905
144000	289.2888	104.8297
148000	264.8949	107.5663
152000	266.6663	110.6266
156000	305.3683	113.3707
160000	320.0862	116.4317
164000	256.2764	119.2059
168000	277.0468	122.306
172000	302.7679	125.008
176000	349.9625	127.9841
180000	292.4413	130.6845
184000	317.8237	133.6073
188000	317.1213	136.2472
192000	310.7087	139.1344
196000	247.1553	141.7325
200000	331.8171	144.6532
204000	264.7387	147.2758
208000	282.5613	150.2133
212000	295.3132	152.8398
216000	302.0585	155.731
220000	339.5968	158.3601
224000	317.5167	161.2587
228000	283.4632	163.8842
232000	366.6604	166.8016
236000	339.2495	169.4862
240000	279.6011	172.3973
244000	287.4374	175.0731
248000	306.0447	177.9848
252000	278.1331	180.608
256000	292.4113	183.4918
260000	277.4094	186.1303
264000	265.0657	189.0256
268000	278.0871	191.6796
272000	291.7549	194.5859
276000	309.5387	197.2251
280000	277.7161	200.1217
284000	278.5211	202.7576
288000	287.1547	205.6826
292000	319.177	208.2921
296000	264.4972	211.1901
300000	323.3292	213.8334
304000	298.2793	216.7467
308000	297.2615	219.3781
312000	316.4074	222.2726
316000	329.4566	224.921
320000	287.3955	227.8117
324000	268.5133	230.4398
328000	347.1622	233.3543
332000	306.808	235.9806
336000	335.8726	238.8479
340000	302.8944	241.4615
344000	328.3602	244.3512
348000	361.1876	246.9484
352000	345.8927	249.8366
356000	329.7812	252.4463
