time_step	reward_avg	time
4000	1.4079	2.8789
8000	2.2496	5.9877
12000	4.6089	8.8134
16000	6.1761	11.8826
20000	13.6263	14.6214
24000	12.9769	17.6485
28000	26.4188	20.3338
32000	26.8852	23.3395
36000	57.4485	25.9842
40000	33.6775	28.9322
44000	81.3209	31.5747
48000	86.4233	34.4864
52000	118.6416	37.0985
56000	101.7712	40.0084
60000	162.8541	42.6293
64000	132.2142	45.5683
68000	221.4959	48.168
72000	178.2764	51.0602
76000	206.5951	53.6835
80000	160.5215	56.5445
84000	191.8865	59.1412
88000	208.9934	62.0289
92000	181.7944	64.6589
96000	219.1044	67.5443
100000	215.6214	70.1551
104000	237.8815	73.0361
108000	241.4337	75.663
112000	215.3959	78.5459
116000	313.3512	81.1564
120000	215.0568	84.0667
124000	241.6306	86.6887
128000	230.5957	89.5617
132000	345.9786	92.1552
136000	279.2283	95.0423
140000	263.1564	97.6365
144000	256.418	100.511
148000	265.6413	103.1083
152000	254.0842	106.0247
156000	253.9457	108.6141
160000	287.4301	111.488
164000	283.8091	114.1318
168000	295.0444	117.0123
172000	293.5427	119.637
176000	279.9534	122.5202
180000	311.4324	125.1273
184000	286.6009	128.0224
188000	263.4261	130.6223
192000	327.8277	133.499
196000	309.3435	136.1067
200000	296.5533	138.991
204000	292.829	141.6221
208000	285.5241	144.5553
212000	279.6451	147.1595
216000	300.4454	150.0899
220000	300.6694	152.7135
224000	298.1055	155.6178
228000	277.1167	158.2298
232000	278.3951	161.1371
236000	339.443	163.7558
240000	323.8412	166.6498
244000	292.4454	169.3085
248000	269.2472	172.2118
252000	298.6651	174.8572
256000	257.1583	177.7735
260000	284.8403	180.4053
264000	353.1241	183.3062
268000	266.8325	185.9234
272000	319.1479	188.82
276000	270.2927	191.4693
280000	292.6869	194.3741
284000	303.7745	196.9963
288000	289.0592	199.9365
292000	355.5807	202.5809
296000	278.8016	205.5061
300000	298.3874	208.1476
304000	291.4032	211.0922
308000	290.4267	213.7175
312000	287.3054	216.6259
316000	321.4562	219.2699
320000	291.7744	222.1866
324000	284.9682	224.8122
328000	308.6997	227.7263
332000	359.2092	230.3651
336000	330.6604	233.341
340000	294.9705	235.9792
344000	298.7455	238.8868
348000	303.3833	241.52
352000	293.2379	244.4332
356000	340.5172	247.0688
360000	285.9342	249.9788
364000	281.1397	252.62
368000	361.8258	255.5717
372000	283.4359	258.202
376000	273.5892	261.1217
380000	340.427	263.7915
384000	294.733	266.7164
388000	276.6462	269.3823
392000	301.4091	272.2969
396000	303.8043	274.9438
400000	302.4783	277.8448
404000	284.1477	280.4865
408000	278.1903	283.3858
412000	284.5243	286.0203
416000	296.6459	288.9272
420000	288.146	291.5598
424000	292.4671	294.4995
428000	303.0558	297.1601
432000	290.5295	300.0767
436000	271.6812	302.7246
440000	272.8209	305.632
444000	268.8181	308.2671
448000	284.8219	311.2403
452000	269.8514	313.9336
456000	282.6973	316.9495
460000	289.305	319.6521
464000	297.0605	322.6276
468000	275.7211	325.3912
472000	279.2295	328.4234
476000	275.449	331.1276
480000	268.3389	334.1433
484000	287.0992	336.8527
488000	275.247	339.8595
492000	283.2759	342.5606
496000	284.3254	345.5525
500000	275.6806	348.2773
504000	268.3807	351.2659
508000	295.7281	353.995
512000	276.863	356.989
516000	273.3234	359.7408
520000	273.5765	362.8131
524000	262.7055	365.571
528000	267.5698	368.6371
532000	276.2772	371.3814
536000	278.5155	374.4179
540000	282.0905	377.1787
544000	269.5337	380.2664
548000	279.5065	383.0507
552000	287.4139	386.1102
556000	280.9987	388.8947
560000	273.0397	391.9425
564000	281.8117	394.7248
568000	273.7121	397.7833
572000	282.1004	400.5652
576000	271.8437	403.593
580000	273.4528	406.3764
584000	279.8575	409.4478
588000	308.9096	412.2125
592000	288.6595	415.2703
596000	286.3995	418.0367
600000	274.9663	421.0625
604000	270.1524	423.819
608000	259.4305	426.9247
612000	263.6909	429.7004
616000	275.0978	432.7627
620000	279.7364	435.537
624000	271.913	438.5986
628000	268.7699	441.4176
632000	275.7804	444.481
636000	270.4282	447.2707
640000	274.7837	450.4088
644000	263.141	453.2991
648000	267.8407	456.4904
652000	274.148	459.3806
656000	273.4517	462.5591
660000	279.3665	465.4363
664000	281.6725	468.6345
668000	280.571	471.527
672000	271.7814	474.7497
676000	273.9147	477.639
680000	272.2194	480.8508
684000	282.6207	483.7411
688000	284.1646	486.9271
692000	279.1645	489.782
696000	288.4674	492.6989
700000	280.7595	495.3995
704000	282.1296	498.3079
708000	287.2188	500.9295
712000	301.3177	503.8632
716000	286.6102	506.4982
720000	286.4387	509.4135
724000	298.5832	512.0581
728000	286.6201	514.9869
732000	310.8499	517.6423
736000	297.569	520.588
740000	316.3009	523.2265
744000	296.679	526.1306
748000	322.341	528.776
752000	321.6846	531.6748
756000	336.4165	534.3377
760000	330.4362	537.2896
764000	314.5988	539.9097
768000	333.4633	542.8296
772000	330.0893	545.4425
776000	324.9552	548.3427
780000	326.0364	550.9639
784000	335.1194	553.8774
788000	343.6895	556.4941
792000	364.7167	559.4123
796000	340.5765	562.0429
800000	355.9361	564.9556
804000	374.8786	567.5784
808000	367.9644	570.494
812000	365.5107	573.1039
816000	366.3433	576.0028
820000	378.85	578.6232
824000	377.2286	581.5575
828000	388.7837	584.1731
832000	377.6936	587.0762
836000	374.2847	589.711
840000	379.2233	592.6178
844000	384.1074	595.3034
848000	374.0405	598.2265
852000	391.4159	600.8758
856000	381.0998	603.7605
860000	384.1929	606.3881
864000	391.4445	609.2822
868000	376.0284	611.9829
872000	373.8313	614.9724
876000	392.7386	617.6892
880000	381.2202	620.6811
884000	386.0876	623.4117
888000	388.9719	626.4531
892000	388.8426	629.1774
896000	378.8526	632.2192
900000	375.8985	634.9655
904000	374.2723	638.0044
908000	389.2042	640.7715
912000	383.5181	643.8596
916000	377.9488	646.6642
920000	389.9731	649.7539
924000	380.9724	652.5476
928000	381.8263	655.6229
932000	384.3683	658.4146
936000	379.8859	661.4786
940000	385.1158	664.269
944000	388.2646	667.3374
948000	388.6277	670.1199
952000	384.988	673.2326
956000	386.4812	676.0123
960000	386.3073	679.0596
964000	393.4603	681.8483
968000	398.531	684.9223
972000	389.6506	687.7057
976000	396.5953	690.7947
980000	392.4043	693.5518
984000	384.1944	696.6359
988000	397.3824	699.4221
992000	406.099	702.5242
996000	408.4093	705.3371
1000000	396.8083	708.3308
1004000	401.2299	711.0622
1008000	403.6423	714.1006
1012000	410.632	716.8116
1016000	408.193	719.7319
1020000	406.567	722.3924
1024000	409.9278	725.3338
1028000	413.4915	727.9924
1032000	419.3921	730.9231
1036000	403.8805	733.5751
1040000	407.0772	736.506
1044000	405.1183	739.148
1048000	408.3791	742.0688
1052000	407.664	744.7203
1056000	410.6788	747.6341
1060000	413.7817	750.2778
1064000	405.189	753.2258
1068000	417.9608	755.8718
1072000	406.3776	758.7824
1076000	410.2534	761.4217
1080000	401.1962	764.3332
1084000	417.9524	766.9777
1088000	409.3702	769.8861
1092000	415.7907	772.5437
1096000	413.3684	775.5064
1100000	413.5698	778.1492
1104000	406.6962	781.0573
1108000	415.0263	783.6997
1112000	407.4238	786.622
1116000	413.2218	789.2752
1120000	410.5213	792.1863
1124000	420.9415	794.8376
1128000	409.1075	797.7596
1132000	413.0873	800.4047
1136000	412.6383	803.3502
1140000	421.8914	805.9876
1144000	416.1442	808.9537
1148000	433.7005	811.676
1152000	424.8692	814.6403
1156000	407.9983	817.3079
1160000	419.4967	820.2071
1164000	420.1095	822.8555
1168000	417.078	825.7939
1172000	419.3778	828.4436
1176000	415.0321	831.3592
1180000	421.4364	834.0181
1184000	420.6517	836.9388
1188000	424.9581	839.6129
1192000	417.8824	842.5474
1196000	415.9937	845.1968
1200000	420.1125	848.1312
1204000	421.0411	850.7791
1208000	428.3162	853.6906
1212000	419.9255	856.3332
1216000	425.653	859.2677
1220000	426.7247	861.9171
1224000	423.73	864.8513
1228000	425.2184	867.4862
1232000	428.6055	870.4012
1236000	417.9286	873.0374
1240000	422.1932	875.9441
1244000	426.3206	878.5756
1248000	419.9713	881.5362
1252000	433.195	884.1947
1256000	423.0936	887.1174
1260000	420.4115	889.7716
1264000	421.4229	892.6927
1268000	427.6963	895.3748
1272000	426.7162	898.2923
1276000	426.6959	900.9388
1280000	418.1579	903.9056
1284000	432.5805	906.551
1288000	426.693	909.4893
1292000	432.4409	912.1364
1296000	427.4484	915.0704
1300000	429.4358	917.708
1304000	423.4749	920.6161
1308000	429.3046	923.3215
1312000	431.7762	926.2209
1316000	430.4329	928.8674
1320000	432.3485	931.7867
1324000	430.5305	934.4513
1328000	429.9658	937.3918
1332000	425.0703	940.0534
1336000	428.1899	942.9739
1340000	435.1798	945.6446
1344000	430.5637	948.5668
1348000	428.2641	951.2141
1352000	431.9567	954.1642
1356000	424.7946	956.8092
1360000	429.6338	959.7331
1364000	429.3638	962.3735
1368000	425.6831	965.3229
1372000	429.2894	967.9603
1376000	433.488	970.8664
1380000	427.2419	973.4929
1384000	429.6742	976.4007
1388000	434.9942	979.0486
1392000	432.0168	981.96
1396000	429.4694	984.6137
1400000	430.293	987.5293
1404000	436.7584	990.1756
1408000	435.2523	993.0865
1412000	431.7109	995.7398
1416000	437.7465	998.6681
1420000	435.0915	1001.3198
1424000	438.0268	1004.2297
1428000	434.9051	1006.8797
1432000	434.2465	1009.8217
1436000	434.3114	1012.4609
1440000	436.4113	1015.4101
1444000	439.8887	1018.0559
1448000	434.2708	1020.9772
1452000	435.4307	1023.6242
1456000	433.1554	1026.5392
1460000	443.0782	1029.1961
1464000	435.7818	1032.1073
1468000	436.1214	1034.7466
1472000	436.411	1037.6611
1476000	438.7953	1040.3102
1480000	437.8762	1043.2501
1484000	436.9108	1045.9183
1488000	440.9105	1048.8421
1492000	444.6017	1051.5197
1496000	439.5151	1054.4298
1500000	438.4279	1057.0708
1504000	448.1446	1059.9806
1508000	437.7685	1062.6223
1512000	443.413	1065.538
1516000	442.3844	1068.1821
1520000	442.5422	1071.1097
1524000	447.847	1073.7751
1528000	450.9988	1076.682
1532000	450.2268	1079.3188
1536000	450.2378	1082.2249
1540000	453.0692	1084.859
1544000	450.0058	1087.745
1548000	448.7708	1090.3719
1552000	445.0106	1093.2977
1556000	450.9396	1095.9506
1560000	454.4396	1098.8753
1564000	458.6641	1101.5214
1568000	455.6555	1104.4719
1572000	448.3481	1107.1276
1576000	455.1296	1110.0537
1580000	452.521	1112.6816
1584000	453.6919	1115.6243
1588000	449.0585	1118.268
1592000	462.9273	1121.1762
1596000	451.1078	1123.834
1600000	455.1268	1126.7556
1604000	463.4705	1129.3864
1608000	462.0683	1132.2913
1612000	470.364	1134.9806
1616000	466.2878	1137.8737
1620000	471.7698	1140.5033
